name,creatorRef,lastEditorRef,ingredient1,ingredient2,ingredient3,type
Everybody Dies But Me,001,005,Longos - Lasagna Beef,Crackers - Soda / Saltins,Shrimp - Baby,ADDIOTIONAL_DISH
Arabian Nights,001,003,Bandage - Fexible 1x3,Canada Dry,Garam Masala Powder,DRINK
Killer (Tueur à gages),006,001,Puree - Guava,Jameson Irish Whiskey,Skewers - Bamboo,ADDIOTIONAL_DISH
Intimate Lighting (Intimni osvetleni),004,001,Coffee Beans - Chocolate,Garbag Bags - Black,Cheese - Brie,MAIN_DISH
PressPausePlay,005,005,Nut - Pumpkin Seeds,Cardamon Ground,Sugar - Brown,ADDIOTIONAL_DISH
Silver Bullet (Stephen King's Silver Bullet),006,003,Pears - Anjou,Swiss Chard - Red,Transfer Sheets,ADDIOTIONAL_DISH
"Loss of Sexual Innocence, The",005,003,Chocolate Bar - Smarties,Doilies - 8,Jam - Strawberry,MAIN_DISH
Looper,003,002,French Kiss Vanilla,Wine - Crozes Hermitage E.,Juice - Orange 1.89l,ADDIOTIONAL_DISH
"American Rhapsody, An",002,006,Watercress,Tuna - Salad Premix,Sour Cream,ADDIOTIONAL_DISH
"Ninth Gate, The",003,005,Mcgillicuddy Vanilla Schnap,Sambuca Cream,Chinese Foods - Chicken,ADDIOTIONAL_DISH
Massacre at Central High,005,002,Muffin Hinge Container 6,Iced Tea - Lemon,Wine - Magnotta - Bel Paese White,DRINK
Pekko ja unissakävelijä,003,005,Ecolab - Ster Bac,Coffee - Espresso,Berry Brulee,ADDIOTIONAL_DISH
East-West (Est-ouest),002,003,Alize Red Passion,Juice - Orange 1.89l,Puree - Blackcurrant,DRINK
"Tale of Winter, A (a.k.a. A Winter's Tale) (Conte d'hiver)",004,002,Broom And Broom Rack White,Higashimaru Usukuchi Soy,Pasta - Rotini,DRINK
Heartbreak Hotel,003,001,Spic And Span All Purpose,Energy Drink - Redbull 355ml,Steampan Lid,ADDIOTIONAL_DISH
Double Tide,001,006,Spice - Montreal Steak Spice,Bar Special K,Liners - Banana,DRINK
Spanking the Monkey,006,004,Grenadine,Sauerkraut,Halibut - Steaks,MAIN_DISH
Cats Don't Dance,005,001,Wine - Red,Lobster - Base,Beer - Guiness,DRINK
Society,005,005,Spaghetti Squash,Juice - Tomato,Beef Flat Iron Steak,DRINK
Dirty Mary Crazy Larry,003,001,Squid - U - 10 Thailand,Pork - Bacon,Shiro Miso,DRINK
Naked Fear,005,006,Sugar - Brown,Mix - Cappucino Cocktail,Jameson Irish Whiskey,MAIN_DISH
Superman/Doomsday ,006,001,Soup - Campbells Chili,Nescafe - Frothy French Vanilla,Sugar - Cubes,MAIN_DISH
